goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
189854100,98,AI가 다 하고 내가 돈 버는 앱 만들기,"AI로 기획, 개발, 배포까지 스토어에서 1위하는 나만의 앱 만들기!",서희찬,길벗,2026년 05월,10%,25200,28000,"1,400원",1860,5,9.2
189629427,99,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),"나노바나나2, 그록 AI, 캡컷 AI, 클링 AI, 폴로 AI, 젠스파크, 리리아3, 수노AI, 노트북LM) | 제미나이 활용 QR코드 예제 수록","송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,0%,19000,19000,0원,2808,46,10.0
188882750,100,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는,씨엠제이(최민정),한빛미디어,2026년 05월,10%,16200,18000,900원,2958,23,10.0
183539313,101,AI 시대 서·논술형 평가 설계 바이블,현직 수석교사와 교사가 들려주는 새로운 시대의 평가 이야기,"조현준, 이근숙, 권좌실, 이슬기, 엄주연 외 1명 정보 더 보기/감추기 조현준 이근숙 권좌실 이슬기 엄주연 오덕수",에듀니티교육연구소(에듀니티),2026년 03월,10%,19800,22000,"1,100원",8496,9,10.0
169665962,102,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영,골든래빗,2026년 01월,10%,23400,26000,"1,300원",7962,10,10.0
165239801,103,대체불가 AI 영상 제작 완전정복,챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태,책바세,2025년 12월,10%,26100,29000,"1,450원",9576,14,9.7
154182485,104,처음이지만 프로처럼 쓰는 노션 Notion,데이터베이스 기초부터 자동화 시스템까지,박한용,디지털북스,2025년 09월,10%,22500,25000,"1,250원",7224,40,10.0
147074475,105,업무와 일상을 정리하는 새로운 방법 노션,"생각 정리부터 업무 생산성, 협업 관리 도구를 노션 하나로!",전시진,제이펍,2025년 06월,10%,21600,24000,"1,200원",6642,20,9.7
144979816,106,질문으로 답을 찾는 인공지능 윤리 수업,,박형빈,한언,2025년 04월,10%,18900,21000,"1,050원",8025,11,9.8
141787639,107,밑바닥부터 시작하는 딥러닝 1,파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키/개앞맵시 역,한빛미디어,2025년 01월,10%,23400,26000,"1,300원",9663,138,9.3
